Name,Roll No,Department,Year,Email,Phone
Dishani Chacko,IN109,Civil,1st,goletiya@yahoo.com,+911444801598
Shalv Bassi,IN110,Computer Science,4th,madhavwalla@hotmail.com,+914981675825
Shaan Dara,IN111,Mechanical,1st,parigupta@zacharia-balan.com,3634550865
Manjari Anne,IN112,Mechanical,2nd,jthakkar@chanda.biz,9459961011
Abram Borra,IN113,Civil,2nd,adirasahni@hotmail.com,02672332624
Ayesha Dugar,IN114,Biotechnology,1st,dararania@yahoo.com,6095383794
Bhavin Bhalla,IN115,Civil,2nd,dsama@majumdar.info,2605780287
Samiha Dara,IN116,Electronics,3rd,raunakkothari@lanka.com,+917498251325
Badal Barman,IN117,Computer Science,4th,kalataran@hotmail.com,08959410042
Ishaan Bhakta,IN118,IT,4th,mandneelofar@biswas-mallick.com,+912428224526
Taran Cheema,IN119,Mechanical,2nd,qdevi@issac.com,+910645057051
Ritvik Saini,IN120,Biotechnology,3rd,lbanik@bahri.com,+911504870820
Yasmin Sodhi,IN121,Mechanical,4th,psoni@yahoo.com,2708769837
Alisha Varty,IN122,Mechanical,3rd,kiarahans@gmail.com,+918086471145
Nayantara Barad,IN123,Mechanical,1st,senguptadhanuk@luthra-varty.net,+917734499460
Dhanush Arya,IN124,IT,3rd,shlok77@hotmail.com,03672666803
Umang Tiwari,IN125,Biotechnology,2nd,nishithbose@guha.com,+916742120690
Advika Garde,IN126,Data Science,2nd,hboase@hotmail.com,04505167329
Alia Vig,IN127,Mechanical,1st,mohanlalmangal@hotmail.com,+917877068782
Lavanya Sethi,IN128,Electronics,1st,choudharyvihaan@hotmail.com,7247337928
Vritika Manne,IN129,Data Science,2nd,chaudrypurab@gmail.com,03908904608
Amani Agrawal,IN130,Civil,3rd,nsarraf@magar.org,07542327441
Ishaan Goyal,IN131,Biotechnology,2nd,yuvaan18@mangat.com,+919635914124
Dhanuk Dhar,IN132,Computer Science,4th,vsehgal@yahoo.com,+911364849442
Myra Bala,IN133,Electronics,2nd,dbali@chaudhry-baral.com,8534681327
Urvi Koshy,IN134,Mechanical,3rd,trivedidivyansh@yahoo.com,04766056763
Rati Chahal,IN135,Civil,1st,rsaha@dhawan-raju.com,06855804541
Sara Kakar,IN136,Electronics,1st,elakshirajan@solanki.net,+916839279935
Aniruddh Bhakta,IN137,IT,2nd,devanpihu@sarma-baria.com,9746097953
Armaan Sibal,IN138,Electronics,3rd,uthkarshdara@sandhu-varkey.com,+916845465599
Khushi Malhotra,IN139,Computer Science,4th,bhavin77@yahoo.com,08054944174
Eshani Vaidya,IN140,Civil,4th,inaaya-kapadia@dalia-warrior.com,8262148440
Ryan Gulati,IN141,Data Science,3rd,deshpandejayan@khanna-devi.com,3720233637
Ehsaan Tandon,IN142,Electronics,2nd,eshani04@venkataraman.com,+915301376908
Kimaya Dass,IN143,Civil,1st,vhalder@gmail.com,3272644243
Kiara Bora,IN144,Data Science,3rd,mahika30@gmail.com,+911031935981
Anvi Dass,IN145,Electronics,4th,mannatandra@yahoo.com,5960217437
Trisha Balakrishnan,IN146,Electronics,4th,ivana41@randhawa-raju.com,0128659551
Kismat Bail,IN147,IT,3rd,anyadugar@dani.org,5190326838
Purab Agrawal,IN148,Data Science,3rd,ddevi@kota-sarraf.com,4731587334
Aarush Kala,IN149,Electronics,2nd,hrishita54@hotmail.com,0661137098
Lavanya Majumdar,IN150,Mechanical,4th,udani@yahoo.com,+916353365858
Faiyaz Sethi,IN151,Computer Science,2nd,jhanvighose@agarwal-agate.com,5666854411
Gokul Swaminathan,IN152,Electronics,2nd,manjarichada@hotmail.com,+918779228868
Krish Khanna,IN153,IT,1st,khoslaveer@kulkarni.com,+913601975328
Zeeshan Chad,IN154,Biotechnology,4th,rbiswas@seshadri.org,+916076493395
Divyansh Iyer,IN155,Electronics,4th,ahanda@dube.net,+911494035485
Kaira Dube,IN156,Civil,4th,raoanahi@gmail.com,8482390678
Rasha Jayaraman,IN157,Biotechnology,1st,chadhaarhaan@gmail.com,+914364783140
Arhaan Doctor,IN158,Electronics,3rd,armaan81@hotmail.com,08318097322
Aaryahi Yadav,IN159,Computer Science,4th,nrege@hotmail.com,9214668918
Yuvraj  Deo,IN160,Computer Science,1st,kgala@rau.com,4913283365
Adira Brar,IN161,IT,2nd,samraprisha@khanna.com,+915695467114
Indranil Salvi,IN162,Data Science,3rd,ira78@sur.biz,1386676625
Mamooty Karnik,IN163,Mechanical,4th,drishya45@ravel-kalita.biz,+913884574405
Anya Lad,IN164,Computer Science,1st,ydixit@wali.com,+917813252936
Heer Lall,IN165,Mechanical,2nd,armaanbalay@gmail.com,9374812215
Diya Sastry,IN166,IT,1st,pthakur@hotmail.com,09211451370
Nakul Agarwal,IN167,Data Science,1st,kavya31@sarkar.com,03077344451
Damini Loyal,IN168,Mechanical,1st,xsuresh@bansal.net,05008944152
Rania Chadha,IN169,Mechanical,4th,kartik36@gmail.com,04806618819
Anahi Balakrishnan,IN170,Data Science,4th,bsagar@chopra-doctor.com,00929071600
Samiha Andra,IN171,Electronics,2nd,qkapur@sen.com,1475522747
Biju Bajaj,IN172,Biotechnology,3rd,yasmingala@kaur-chad.com,05477428114
Samiha Divan,IN173,Civil,4th,zeeshantandon@hotmail.com,+918117044579
Indrans Krishnan,IN174,Computer Science,3rd,cbir@hotmail.com,05115243522
Eva Barad,IN175,Electronics,1st,jiya36@gmail.com,02271061777
Nitya Verma,IN176,IT,4th,pranaysura@gmail.com,03646956303
Samar Mangat,IN177,IT,4th,ranganathanraghav@choudhury-gour.com,9904687752
Vanya Mahal,IN178,Biotechnology,3rd,tushar44@sundaram.com,07301082827
Zeeshan Lala,IN179,Computer Science,2nd,upadhyayindrans@hotmail.com,6423435524
Madhav Batra,IN180,Electronics,2nd,anahita72@sethi.com,5521989444
Ela Sarin,IN181,Electronics,2nd,manjari12@borde.com,+910073874232
Aaryahi Handa,IN182,Electronics,4th,tankjiya@shah.com,+917836696028
Samar Sarma,IN183,IT,3rd,jkumer@gmail.com,5466250662
Shaan Agarwal,IN184,Civil,4th,dalalkeya@doshi.com,9794411568
Nirvi Sankar,IN185,Data Science,2nd,tshetty@yahoo.com,+914743093221
Pihu Ghose,IN186,Computer Science,4th,piyachaudhuri@hotmail.com,08063946834
Piya Vala,IN187,IT,4th,sahilaggarwal@gmail.com,+913779070920
Keya Korpal,IN188,Computer Science,4th,elachanda@mahal.info,5041931656
Armaan Salvi,IN189,Computer Science,4th,dhanushwali@yahoo.com,6559376305
Riya Yadav,IN190,Computer Science,4th,rashabatta@gokhale-sharma.biz,03922562614
Tiya Chad,IN191,Civil,3rd,hansh16@yahoo.com,+916771678265
Aarna Kapoor,IN192,Computer Science,2nd,hbir@sheth-chander.com,05051064745
Anya Sha,IN193,Civil,2nd,borahdivyansh@gupta.com,8235264926
Vivaan Kuruvilla,IN194,Mechanical,3rd,baijuvarkey@sastry.com,+917630566276
Suhana Maharaj,IN195,Electronics,2nd,nirvidayal@hotmail.com,8008463155
Azad Saini,IN196,Electronics,1st,gopalsamarth@yahoo.com,+917868395388
Raunak Chana,IN197,IT,3rd,stuvangoel@yahoo.com,2467654968
Raghav Dash,IN198,Electronics,3rd,dharhazel@hotmail.com,08031743886
Elakshi Saha,IN199,Data Science,1st,shaan93@dutt-som.biz,+910512611425
Yakshit Thaker,IN200,Computer Science,3rd,bainsseher@dubey-saha.net,02839655622
Jivin Bava,IN201,Data Science,3rd,sagaranika@gandhi-mani.com,02977397246
Kavya Borra,IN202,Biotechnology,3rd,eshani91@gmail.com,01167085041
Aarav Subramaniam,IN203,Electronics,4th,jayanaggarwal@jayaraman.com,07905287688
Romil Chakrabarti,IN204,Civil,2nd,bhallaira@chadha.net,+919829767144
Parinaaz Khurana,IN205,Electronics,1st,divit96@yogi-mahal.com,+912465731802
Reyansh Hans,IN206,Computer Science,2nd,samarth65@divan.org,+918702304899
Eshani Ahluwalia,IN207,Electronics,2nd,ekala@gmail.com,+919313977195
Anay Bhandari,IN208,Biotechnology,3rd,advik18@yahoo.com,3874866739
Tejas Thakur,IN209,Data Science,2nd,singhdhanuk@devan.com,5718206111
Divij Kant,IN210,Biotechnology,4th,rkakar@yahoo.com,6606310692
Saanvi Keer,IN211,Biotechnology,3rd,ivana65@issac.com,04244375899
Nirvi Varkey,IN212,Biotechnology,4th,vmammen@yahoo.com,02203047993
Inaaya  Butala,IN213,Biotechnology,2nd,bathheer@hotmail.com,9064925370
Chirag Magar,IN214,Mechanical,4th,amiraswaminathan@hotmail.com,3576068590
Vardaniya Buch,IN215,Biotechnology,3rd,rheakant@walia.com,05556874259
Shayak Barad,IN216,IT,1st,karnikoorja@yahoo.com,3085461971
Aradhya Gupta,IN217,Civil,2nd,drishyarout@hotmail.com,07536546672
Alisha Chaudhari,IN218,Mechanical,3rd,ckashyap@yahoo.com,+917603815187
Shalv Setty,IN219,Data Science,3rd,lalkrish@hotmail.com,08492309585
Zain Mannan,IN220,Mechanical,4th,latasuhana@gmail.com,+919932437341
Badal Tara,IN221,Electronics,2nd,heer03@wable.info,1185056126
Shalv Thaman,IN222,Mechanical,3rd,butalataimur@hotmail.com,+915324996414
Samaira Ram,IN223,Biotechnology,3rd,manikyakhanna@gmail.com,+916256450340
Alisha Hegde,IN224,IT,3rd,manikya74@goyal.com,05733961251
Kiaan Kaur,IN225,Computer Science,2nd,eissac@mannan.com,5771145655
Renee Bakshi,IN226,Electronics,4th,ivanramesh@karan.com,05644307692
Azad Banik,IN227,Biotechnology,2nd,dlad@baria-shan.com,01031040285
Oorja Atwal,IN228,Civil,3rd,dalalnirvaan@char.com,+913894554545
Samar Kara,IN229,Civil,3rd,nishithchoudhury@deshpande-kapoor.com,+913541976469
Sana Dada,IN230,Mechanical,3rd,zoya55@yahoo.com,+913390238125
Ojas Basu,IN231,Data Science,1st,sana72@gour.com,1318845197
Riya Mall,IN232,Computer Science,3rd,zoyayohannan@hotmail.com,05838088500
Vaibhav Chad,IN233,Electronics,2nd,zsarna@hotmail.com,9924111692
Akarsh Mani,IN234,Electronics,4th,kuruvillaindranil@mangal.com,+910469562859
Ranbir Dugar,IN235,Civil,1st,bhamini37@choudhury.com,05880927141
Kavya Bahri,IN236,IT,3rd,semheer@anne.com,5806147440
Hansh Thakur,IN237,Electronics,2nd,ivana96@kothari-bumb.com,1408592642
Hrishita Reddy,IN238,Biotechnology,2nd,dharmajanchopra@gmail.com,08745970343
Arhaan Sem,IN239,Mechanical,3rd,dhanush59@sekhon.com,06108277398
Miraya Andra,IN240,Biotechnology,2nd,darshitbatta@hotmail.com,09254395987
Jayant Sur,IN241,IT,4th,sakshamkhalsa@kadakia.com,4800718439
Vaibhav Batra,IN242,Mechanical,4th,kbakshi@hari-deo.com,08312871374
Anika Rastogi,IN243,Electronics,1st,kmand@jayaraman.com,00713819356
Adira Ganesh,IN244,Mechanical,2nd,ykrishna@yogi.com,+915351083940
Shlok Mangal,IN245,Computer Science,2nd,wasonpihu@yahoo.com,+917464229010
Ishita Randhawa,IN246,Mechanical,4th,bhallaeshani@yahoo.com,+919949324030
Vritika Gopal,IN247,Computer Science,4th,mirayagara@yahoo.com,0208909325
Myra Buch,IN248,Biotechnology,3rd,kumarlakshay@vig.biz,8905176612
Damini Das,IN249,Data Science,3rd,dharmajan76@yahoo.com,+917801470345
Amira Sura,IN250,IT,4th,indranilchand@bains.com,03625093541
Bhavin Warrior,IN251,Mechanical,2nd,jgoyal@gmail.com,5401154770
Dharmajan Sood,IN252,Electronics,4th,prerak20@bose-deol.biz,05846448715
Riya Rama,IN253,Biotechnology,3rd,gloke@yahoo.com,+917576450898
Vardaniya Ahuja,IN254,Data Science,2nd,sararajan@uppal.info,7440061991
Hiran Sekhon,IN255,Electronics,3rd,alia50@sekhon.com,02359827976
Mohanlal Sen,IN256,Electronics,3rd,tushar59@gmail.com,+913784478683
Saanvi Ramaswamy,IN257,IT,1st,aarush00@yahoo.com,03485325558
Yuvraj  Shetty,IN258,IT,4th,faiyaz03@yahoo.com,07803706002
Abram Sunder,IN259,Civil,4th,xsharma@ben.info,6164118310
Aradhya Sani,IN260,Biotechnology,3rd,butalamisha@yahoo.com,7304894820
Shamik Chada,IN261,Computer Science,1st,mishti23@hotmail.com,4605059592
Hansh Kar,IN262,Mechanical,1st,jainamira@hotmail.com,0044386376
Jhanvi Chacko,IN263,Civil,1st,bariainaaya@ramachandran.org,+910290973358
Kiara Dugar,IN264,Civil,4th,ranbirguha@gmail.com,04809189366
Ehsaan Hayer,IN265,Biotechnology,2nd,vsanghvi@gmail.com,6746886564
Alia Mallick,IN266,Mechanical,1st,ganesanpranay@joshi-chokshi.com,4012281865
Mahika Comar,IN267,Biotechnology,4th,riaanganesan@mall-sem.com,4113738553
Riya Sagar,IN268,Electronics,3rd,achhabra@hotmail.com,05870532640
Badal Babu,IN269,IT,1st,bhavinvala@gmail.com,+912407030077
Indrajit Mahajan,IN270,Mechanical,3rd,tiya96@yahoo.com,+910886807425
Romil Bala,IN271,Electronics,3rd,azadseth@hotmail.com,02066891742
Ritvik Kulkarni,IN272,Electronics,1st,biyer@gmail.com,4457739726
Yuvaan Sheth,IN273,Civil,1st,armaanghose@hotmail.com,+911930336936
Tanya Vohra,IN274,Data Science,3rd,eshanibalan@gade.org,3446057554
Mishti Kari,IN275,Civil,2nd,darshit27@bhatia-mahal.org,+917326318468
Eva Chad,IN276,Data Science,4th,guptaamira@hayre-kapur.org,+914120590078
Pranay De,IN277,IT,1st,armaanbalasubramanian@gmail.com,05662675329
Ivana Bath,IN278,Computer Science,4th,xganesan@gmail.com,00506906018
Mannat De,IN279,Civil,1st,yashvibajwa@choudhary.net,+916042539014
Saira Kala,IN280,IT,3rd,tsandhu@hotmail.com,01779626518
Mishti Ghosh,IN281,Mechanical,4th,romil39@sura.com,+919032810113
Stuvan Dash,IN282,Mechanical,2nd,kiara73@gmail.com,+915018568409
Stuvan Vaidya,IN283,IT,1st,lsawhney@yahoo.com,3761290967
Trisha Malhotra,IN284,Data Science,2nd,krish92@hotmail.com,+912453507554
Heer Ravel,IN285,Civil,4th,fbuch@krishna.com,+912273873580
Gatik Dhingra,IN286,Computer Science,4th,otank@dey.com,+916247156318
Anaya Andra,IN287,Biotechnology,1st,bhandaririya@kumar.com,07455202471
Seher Banerjee,IN288,Electronics,4th,siya95@yahoo.com,6465307976
Badal Kala,IN289,Computer Science,3rd,karankhushi@shenoy-mander.info,+912672946840
Himmat Sankaran,IN290,Mechanical,4th,joshishray@hotmail.com,8393772821
Keya Ravel,IN291,IT,4th,shanayasaran@yahoo.com,+910631457374
Riaan Lata,IN292,Biotechnology,2nd,rohan05@biswas-rege.com,2680807066
Jayesh Ramakrishnan,IN293,IT,2nd,farhan04@mangal.com,7101743409
Nitara Badal,IN294,Electronics,2nd,vritika11@bumb.biz,05955393660
Jayan Jaggi,IN295,Computer Science,3rd,shaankhalsa@hotmail.com,02995585812
Ritvik Kar,IN296,Data Science,2nd,neysa56@yahoo.com,2133605740
Navya Sengupta,IN297,Civil,4th,ilal@gmail.com,+918570524397
Neysa Sunder,IN298,Mechanical,3rd,shankeranvi@balasubramanian.com,+910187109174
Samiha Bajaj,IN299,Biotechnology,1st,hanshsarma@yahoo.com,02735622590
Hridaan Goyal,IN300,Computer Science,4th,strivedi@hotmail.com,3096913868
Advik Chaudhary,IN301,Computer Science,4th,ztoor@hotmail.com,01070925213
Romil Kannan,IN302,Electronics,4th,dhanush62@majumdar-bansal.com,07146284915
Arhaan Saran,IN303,Biotechnology,4th,baralkrish@raval.org,09961339387
Arnav Sekhon,IN304,Computer Science,1st,wkalita@kade.net,02750974976
Samaira Dutt,IN305,Civil,4th,alisharamachandran@reddy-kar.biz,07167365991
Suhana Dube,IN306,Biotechnology,3rd,balakrishnanbaiju@gmail.com,3964462240
Yakshit Ahuja,IN307,IT,2nd,buchelakshi@yahoo.com,4039183812
Dharmajan Krishnamurthy,IN308,Computer Science,3rd,pmaharaj@goswami.net,05408997579
Kashvi Contractor,IN309,Biotechnology,3rd,mishashetty@dhaliwal.com,07467619796
Ranbir Shanker,IN310,Electronics,1st,mannatchada@gmail.com,+911870999637
Ela Krishnamurthy,IN311,IT,1st,ssarraf@upadhyay-balakrishnan.com,8695163533
Hiran Tank,IN312,Electronics,2nd,tbhatnagar@jaggi.com,+912599578576
Parinaaz Kala,IN313,Electronics,1st,uthkarsh81@garg-sankaran.com,1134430439
Lagan Sethi,IN314,Data Science,2nd,bailamani@kothari.com,04200848594
Lagan Rana,IN315,Computer Science,4th,rastogilakshit@karpe-karan.com,6195074857
Kartik Jhaveri,IN316,Mechanical,4th,priyanshkamdar@yahoo.com,+914709756491
Rhea Hegde,IN317,Civil,4th,sbose@kulkarni.biz,+916296976326
Zaina Gaba,IN318,Civil,2nd,okalla@doctor.com,+910160751156
Neysa Varma,IN319,Electronics,2nd,echandran@yahoo.com,6378650821
Hiran Shroff,IN320,IT,3rd,sdyal@gmail.com,02457540737
Mehul Sharma,IN321,IT,2nd,manepriyansh@bhavsar.info,03539263010
Chirag Golla,IN322,Civil,1st,gokhaleakarsh@wali-kala.com,4542830388
Miraya Arya,IN323,Data Science,1st,karipihu@yahoo.com,+912630050495
Zaina Char,IN324,Computer Science,1st,sanalata@hotmail.com,+919024771219
Tushar Buch,IN325,Civil,2nd,priyanshbajwa@yahoo.com,+910329493843
Dhanuk Aggarwal,IN326,Biotechnology,2nd,sridharkavya@hotmail.com,7469350152
Aradhya Bhavsar,IN327,IT,2nd,seher29@karan.com,+913420663397
Vidur Jha,IN328,IT,3rd,doshipranay@solanki.info,+911245158248
Miraya Vora,IN329,Electronics,4th,bhandarinishith@yogi-shankar.com,06378247577
Vritika Apte,IN330,Civil,2nd,maharajbiju@yahoo.com,00553226765
Indrans Rana,IN331,Civil,4th,rohan13@yahoo.com,02108382302
Manikya Khosla,IN332,Mechanical,1st,trisha51@yahoo.com,6160164052
Reyansh Sem,IN333,Biotechnology,3rd,vsubramaniam@gmail.com,07699430890
Saira Kata,IN334,Electronics,3rd,kiara41@gmail.com,+913927327872
Romil Singhal,IN335,Computer Science,4th,deshmukhhiran@krishna.biz,+916368402581
Baiju Lala,IN336,Biotechnology,2nd,rasha14@gmail.com,+919108921856
Amani Bhatti,IN337,Civil,1st,eshroff@yahoo.com,07414461500
Reyansh Sangha,IN338,Mechanical,3rd,tbawa@hotmail.com,09142447597
Lagan Edwin,IN339,Biotechnology,4th,sureshtarini@dhar.com,02312850612
Sara Sengupta,IN340,Computer Science,1st,jayantswamy@gmail.com,2604554129
Dishani Tella,IN341,Data Science,2nd,chandakabir@gmail.com,+911798987044
Aayush Walia,IN342,Civil,1st,wlala@hotmail.com,+917846751097
Heer Wadhwa,IN343,Computer Science,3rd,aniruddhvora@hotmail.com,09268672868
Saira Gade,IN344,Civil,1st,ira11@yahoo.com,+918563951378
Mishti Dasgupta,IN345,Electronics,3rd,qsalvi@yahoo.com,+919670225026
Adira Kakar,IN346,Computer Science,4th,yadavdarshit@hotmail.com,+913547402740
Alia Dada,IN347,Mechanical,4th,kdevan@ganguly.org,+911863647887
